"id","nome_antigo","nome_novo","gif_antigo","gif_novo","classificacao_antiga","grupo_principal_novo","secundarias_novas","descricao_atualizada","status","observacao"
"media_54f8bc146550fd04af8a","Abdominal canivete com halteres e pernas elevadas","Abdominal canivete com halteres e pernas elevadas","gifs/abdominais/Prancha reversa.gif","gifs/abdominais/Prancha reversa.gif","Abdômen/Core | Halteres | Academia","Abdômen/Core","Halteres | Academia","true","mapped","ID e mídia preservados"
"media_58c1d09f80ca964035e3","Abdominal canivete cruzado","Abdominal canivete cruzado","gifs/Exercícios sem marca d'água/Não cruze, sente-se.gif","gifs/Exercícios sem marca d'água/Não cruze, sente-se.gif","Abdômen/Core | Sem aparelhos | Casa","Abdômen/Core","Sem aparelhos | Casa","true","mapped","ID e mídia preservados"
"media_6945181e17155b7307ac","Abdominal com bola medicinal","Abdominal com bola medicinal","gifs/Exercícios sem marca d'água/Abdominal com bola medicinal.gif","gifs/Exercícios sem marca d'água/Abdominal com bola medicinal.gif","Abdômen/Core | Bola | Academia","Abdômen/Core","Bola | Academia","true","mapped","ID e mídia preservados"
"media_5217376ecd6261cd566e","Abdominal com braços acima da cabeça","Abdominal com braços acima da cabeça","gifs/abdominais/Sentado flutter kick - Variação 4.gif","gifs/abdominais/Sentado flutter kick - Variação 4.gif","Abdômen/Core | Sem aparelhos | Casa","Abdômen/Core","Sem aparelhos | Casa","true","mapped","ID e mídia preservados"
"media_bd387741514a5b94b4d6","Abdominal com braços estendidos","Abdominal com braços estendidos","gifs/Exercícios sem marca d'água/Flexão de braço longo.gif","gifs/Exercícios sem marca d'água/Flexão de braço longo.gif","Abdômen/Core | Sem aparelhos | Casa","Abdômen/Core","Sem aparelhos | Casa","true","mapped","ID e mídia preservados"
"media_5e06069d1747a3642390","Abdominal com joelhos ao peito deitado","Abdominal com joelhos ao peito deitado","gifs/Exercícios sem marca d'água/Puxada de perna em joelhos.gif","gifs/Exercícios sem marca d'água/Puxada de perna em joelhos.gif","Abdômen/Core | Sem aparelhos | Casa","Abdômen/Core","Sem aparelhos | Casa","true","mapped","ID e mídia preservados"
"media_84f3c348d0bd0de5889a","Abdominal com joelhos na bola suíça","Abdominal com joelhos na bola suíça","gifs/Exercícios sem marca d'água/Dobra de joelho com bola suíça.gif","gifs/Exercícios sem marca d'água/Dobra de joelho com bola suíça.gif","Abdômen/Core | Bola | Academia","Abdômen/Core","Bola | Academia","true","mapped","ID e mídia preservados"
"media_df1298bc746a35c6e9cc","Abdominal com peso","Abdominal com peso","gifs/Exercícios sem marca d'água/Abdominal com peso.gif","gifs/Exercícios sem marca d'água/Abdominal com peso.gif","Abdômen/Core | Sem aparelhos | Casa","Abdômen/Core","Sem aparelhos | Casa","true","mapped","ID e mídia preservados"
"media_5959ba8a910cc4bd333e","Abdominal com roda","Abdominal com roda","gifs/Exercícios sem marca d'água/Abdominal com roda.gif","gifs/Exercícios sem marca d'água/Abdominal com roda.gif","Abdômen/Core | Sem aparelhos | Casa","Abdômen/Core","Sem aparelhos | Casa","true","mapped","ID e mídia preservados"
"media_268cab95eea048617e6e","Abdominal completo","Abdominal completo","gifs/Exercícios sem marca d'água/Abdominal.gif","gifs/Exercícios sem marca d'água/Abdominal.gif","Abdômen/Core | Sem aparelhos | Casa","Abdômen/Core","Sem aparelhos | Casa","true","mapped","ID e mídia preservados"
"media_ecdd3a34b2d3919cdb19","Abdominal cruzado","Abdominal cruzado","gifs/Exercícios sem marca d'água/Abdominal cruzado.gif","gifs/Exercícios sem marca d'água/Abdominal cruzado.gif","Abdômen/Core | Sem aparelhos | Casa","Abdômen/Core","Sem aparelhos | Casa","true","mapped","ID e mídia preservados"
"media_41eada67854ead35ddd5","Abdominal declinado","Abdominal declinado","gifs/Exercícios sem marca d'água/Recusar sentar-se.gif","gifs/Exercícios sem marca d'água/Recusar sentar-se.gif","Abdômen/Core | Banco | Academia","Abdômen/Core","Banco | Academia","true","mapped","ID e mídia preservados"
"media_3058bd7f1e6cf09921cf","Abdominal em pé na polia","Abdominal em pé na polia","gifs/abdominais/Sentado na polia twist - Variação 5.gif","gifs/abdominais/Sentado na polia twist - Variação 5.gif","Abdômen/Core | Polia/Cabo | Academia","Abdômen/Core","Polia/Cabo | Academia","true","mapped","ID e mídia preservados"
"media_92cd324eddf81f9c7647","Abdominal em pé no cabo","Abdominal em pé no cabo","gifs/Exercícios sem marca d'água/Trituração de cabo em pé.gif","gifs/Exercícios sem marca d'água/Trituração de cabo em pé.gif","Abdômen/Core | Polia/Cabo | Academia","Abdômen/Core","Polia/Cabo | Academia","true","mapped","ID e mídia preservados"
"media_bd09c2f221cb11bce08d","Abdominal joelhos ao peito com cabo","Abdominal joelhos ao peito com cabo","gifs/abdominais/Um quarto sentado.gif","gifs/abdominais/Um quarto sentado.gif","Abdômen/Core | Polia/Cabo | Academia","Abdômen/Core","Polia/Cabo | Academia","true","mapped","ID e mídia preservados"
"media_41eb3447a4ebfe344817","Abdominal lateral na bola suíça","Abdominal lateral na bola suíça","gifs/abdominais/Abdominal - Variação 6.gif","gifs/abdominais/Abdominal - Variação 6.gif","Abdômen/Core | Bola | Academia","Abdômen/Core","Bola | Academia","true","mapped","ID e mídia preservados"
"media_6ce369b6689dbf8a4a1e","Abdominal lateral na bola suíça com peso","Abdominal lateral na bola suíça com peso","gifs/Exercícios sem marca d'água/Flexão lateral com peso na bola suíça.gif","gifs/Exercícios sem marca d'água/Flexão lateral com peso na bola suíça.gif","Abdômen/Core | Bola | Academia","Abdômen/Core","Bola | Academia","true","mapped","ID e mídia preservados"
"media_14d4dde1d41b863640bf","Abdominal lateral sentado","Abdominal lateral sentado","gifs/Exercícios sem marca d'água/Abdominal lateral sentada.gif","gifs/Exercícios sem marca d'água/Abdominal lateral sentada.gif","Abdômen/Core | Sem aparelhos | Casa","Abdômen/Core","Sem aparelhos | Casa","true","mapped","ID e mídia preservados"
"media_72ee672e0eb63fd581b3","Abdominal na máquina","Abdominal na máquina","gifs/abdominais/Full abdominal na máquina.gif","gifs/abdominais/Full abdominal na máquina.gif","Abdômen/Core | Máquina | Academia","Abdômen/Core","Máquina | Academia","true","mapped","ID e mídia preservados"
"media_614eb5794d6c08c2ce86","Abdominal na máquina Ab Coaster","Abdominal na máquina Ab Coaster","gifs/Exercícios sem marca d'água/Abdominal na máquina Ab Coaster.gif","gifs/Exercícios sem marca d'água/Abdominal na máquina Ab Coaster.gif","Abdômen/Core | Máquina | Academia","Abdômen/Core","Máquina | Academia","true","mapped","ID e mídia preservados"
"media_9c80b9a413e5b8c1e0cb","Abdominal na máquina sentado","Abdominal na máquina sentado","gifs/abdominais/Alavanca de elevação da perna em pé.gif","gifs/abdominais/Alavanca de elevação da perna em pé.gif","Abdômen/Core | Máquina | Academia","Abdômen/Core","Máquina | Academia","true","mapped","ID e mídia preservados"
"media_376beff229535ef426d8","Abdominal na máquina tipo coaster","Abdominal na máquina tipo coaster","gifs/abdominais/Sentado na polia twist - Variação 4.gif","gifs/abdominais/Sentado na polia twist - Variação 4.gif","Abdômen/Core | Máquina | Academia","Abdômen/Core","Máquina | Academia","true","mapped","ID e mídia preservados"
"media_77dde85f351912053415","Abdominal no banco declinado com carga","Abdominal no banco declinado com carga","gifs/abdominais/Lever deitado abdominal - Variação 2.gif","gifs/abdominais/Lever deitado abdominal - Variação 2.gif","Abdômen/Core | Banco | Academia","Abdômen/Core","Banco | Academia","true","mapped","ID e mídia preservados"
"media_2b8b21fdd1258627ca59","Abdominal no chão","Abdominal no chão","gifs/Exercícios sem marca d'água/Trituração do chão.gif","gifs/Exercícios sem marca d'água/Trituração do chão.gif","Abdômen/Core | Sem aparelhos | Casa","Abdômen/Core","Sem aparelhos | Casa","true","mapped","ID e mídia preservados"
"media_3739be1cfaab10f0dd89","Abdominal no TRX","Abdominal no TRX","gifs/abdominais/Torção de mina terrestre - Variação 4.gif","gifs/abdominais/Torção de mina terrestre - Variação 4.gif","Abdômen/Core | Sem aparelhos | Casa","Abdômen/Core","Sem aparelhos | Casa","true","mapped","ID e mídia preservados"
"media_1bcfe6d58d2a42e3031e","Abdominal oblíquo no chão","Abdominal oblíquo no chão","gifs/Exercícios sem marca d'água/Flexões oblíquas no chão.gif","gifs/Exercícios sem marca d'água/Flexões oblíquas no chão.gif","Abdômen/Core | Sem aparelhos | Casa","Abdômen/Core","Sem aparelhos | Casa","true","mapped","ID e mídia preservados"
"media_4bf0f198cbc3fdac28da","Abdominal reverso","Abdominal reverso","gifs/Exercícios sem marca d'água/Abdominal reverso.gif","gifs/Exercícios sem marca d'água/Abdominal reverso.gif","Abdômen/Core | Sem aparelhos | Casa","Abdômen/Core","Sem aparelhos | Casa","true","mapped","ID e mídia preservados"
"media_995320fc372cdd0d7c3d","Abdominal reverso com bola medicinal","Abdominal reverso com bola medicinal","gifs/abdominais/Crunch com elevação da perna - Variação 2.gif","gifs/abdominais/Crunch com elevação da perna - Variação 2.gif","Abdômen/Core | Bola | Academia","Abdômen/Core","Bola | Academia","true","mapped","ID e mídia preservados"
"media_e75d08cef55f92adee15","Abdominal reverso com joelhos flexionados","Abdominal reverso com joelhos flexionados","gifs/abdominais/Puxada de perna em joelhos.gif","gifs/abdominais/Puxada de perna em joelhos.gif","Abdômen/Core | Sem aparelhos | Casa","Abdômen/Core","Sem aparelhos | Casa","true","mapped","ID e mídia preservados"
"media_778fb269361f3b48d3e3","Abdominal rollout com roda","Abdominal rollout com roda","gifs/abdominais/Twist down up with resistance band.gif","gifs/abdominais/Twist down up with resistance band.gif","Abdômen/Core | Sem aparelhos | Casa","Abdômen/Core","Sem aparelhos | Casa","true","mapped","ID e mídia preservados"
"media_4a66fc38f22062eed68d","Abdominal sapo","Abdominal sapo","gifs/abdominais/Abdominal de sapo.gif","gifs/abdominais/Abdominal de sapo.gif","Abdômen/Core | Sem aparelhos | Casa","Abdômen/Core","Sem aparelhos | Casa","true","mapped","ID e mídia preservados"
"media_0e463aeb4158497e2760","Abdominal sapo com bola suíça","Abdominal sapo com bola suíça","gifs/Exercícios sem marca d'água/Exercício bola sapo crunch.gif","gifs/Exercícios sem marca d'água/Exercício bola sapo crunch.gif","Abdômen/Core | Bola | Academia","Abdômen/Core","Bola | Academia","true","mapped","ID e mídia preservados"
"media_2ed9b37f91fcf7352ff4","Abdominal sentado na máquina","Abdominal sentado na máquina","gifs/abdominais/Sentado ab abdominal na máquina.gif","gifs/abdominais/Sentado ab abdominal na máquina.gif","Abdômen/Core | Máquina | Academia","Abdômen/Core","Máquina | Academia","true","mapped","ID e mídia preservados"
"media_07e6c47d16c3f6e3f7e0","Abdominal sentado no banco","Abdominal sentado no banco","gifs/abdominais/Twist with resistance band.gif","gifs/abdominais/Twist with resistance band.gif","Abdômen/Core | Banco | Academia","Abdômen/Core","Banco | Academia","true","mapped","ID e mídia preservados"
"media_cde3619970c8c5aa12cd","Abdominal sentado no banco com joelhos ao peito","Abdominal sentado no banco com joelhos ao peito","gifs/Exercícios sem marca d'água/Perna sentada no banco puxada para dentro.gif","gifs/Exercícios sem marca d'água/Perna sentada no banco puxada para dentro.gif","Abdômen/Core | Banco | Academia","Abdômen/Core","Banco | Academia","true","mapped","ID e mídia preservados"
"media_3879ff2698849b14e606","Abdominal tocando os pés","Abdominal tocando os pés","gifs/abdominais/Abdominal de bicicleta.gif","gifs/abdominais/Abdominal de bicicleta.gif","Abdômen/Core | Sem aparelhos | Casa","Abdômen/Core","Sem aparelhos | Casa","true","mapped","ID e mídia preservados"
"media_90048a1103f0a4684dc6","Abdominal tradicional","Abdominal tradicional","gifs/Exercícios sem marca d'água/Abdominais.gif","gifs/Exercícios sem marca d'água/Abdominais.gif","Abdômen/Core | Sem aparelhos | Casa","Abdômen/Core","Sem aparelhos | Casa","true","mapped","ID e mídia preservados"
"media_be0a52168e8a76f693c9","Abdominal um quarto","Abdominal um quarto","gifs/Exercícios sem marca d'água/Um quarto sentado.gif","gifs/Exercícios sem marca d'água/Um quarto sentado.gif","Abdômen/Core | Sem aparelhos | Casa","Abdômen/Core","Sem aparelhos | Casa","true","mapped","ID e mídia preservados"
"media_7ef933091b77a7b8d22f","Abdominal V-up","Abdominal V-up","gifs/abdominais/Dobra crocante.gif","gifs/abdominais/Dobra crocante.gif","Abdômen/Core | Sem aparelhos | Casa","Abdômen/Core","Sem aparelhos | Casa","true","mapped","ID e mídia preservados"
"media_5e580b9122697884ca0b","Abdominal V-up com bola suíça","Abdominal V-up com bola suíça","gifs/Exercícios sem marca d'água/Bola suíça v up.gif","gifs/Exercícios sem marca d'água/Bola suíça v up.gif","Abdômen/Core | Bola | Academia","Abdômen/Core","Bola | Academia","true","mapped","ID e mídia preservados"
"media_77369d3e940283d271f4","Abdominal V-up com halteres","Abdominal V-up com halteres","gifs/Exercícios sem marca d'água/Haltere v para cima.gif","gifs/Exercícios sem marca d'água/Haltere v para cima.gif","Abdômen/Core | Halteres | Academia","Abdômen/Core","Halteres | Academia","true","mapped","ID e mídia preservados"
"media_31024f8c4102dcbeb163","Abdução de quadril deitado com elástico","Abdução de quadril deitado com elástico","gifs/Exercícios sem marca d'água/Crucifixo da coxa com elástico.gif","gifs/Exercícios sem marca d'água/Crucifixo da coxa com elástico.gif","Glúteos | Elástico | Quadril | Academia","Glúteos","Quadril | Elástico | Academia","true","mapped","ID e mídia preservados"
"media_64712606087f7ed7e202","Abdução de quadril deitado com elástico - variação 2","Abdução de quadril deitado com elástico - variação 2","gifs/Exercícios sem marca d'água/Levantamento de perna deitado lateralmente.gif","gifs/Exercícios sem marca d'água/Levantamento de perna deitado lateralmente.gif","Glúteos | Elástico | Quadril | Academia","Glúteos","Quadril | Elástico | Academia","true","mapped","ID e mídia preservados"
"media_93e74d3d0efd58646aee","Abdução de quadril em concha","Abdução de quadril em concha","gifs/Exercícios sem marca d'água/Abdução de quadril em concha.gif","gifs/Exercícios sem marca d'água/Abdução de quadril em concha.gif","Glúteos | Quadril | Sem aparelhos | Casa","Glúteos","Quadril | Sem aparelhos | Casa","true","mapped","ID e mídia preservados"
"media_708ff7631e6dc8a55607","Abdução de quadril em concha com elástico","Abdução de quadril em concha com elástico","gifs/Exercícios sem marca d'água/Abdução de quadril em concha com elástico.gif","gifs/Exercícios sem marca d'água/Abdução de quadril em concha com elástico.gif","Glúteos | Elástico | Quadril | Academia","Glúteos","Quadril | Elástico | Academia","true","mapped","ID e mídia preservados"
"media_3c4b654f94e7660ab52b","Abdução de quadril em pé","Abdução de quadril em pé","gifs/Exercícios sem marca d'água/Abdução de quadril em pé.gif","gifs/Exercícios sem marca d'água/Abdução de quadril em pé.gif","Glúteos | Quadril | Sem aparelhos | Casa","Glúteos","Quadril | Sem aparelhos | Casa","true","mapped","ID e mídia preservados"
"media_b52fc545a36b7e8ac387","Abdução de quadril em pé com elástico","Abdução de quadril em pé com elástico","gifs/glúteos/Abdução de quadril em pé - Variação 2.gif","gifs/glúteos/Abdução de quadril em pé - Variação 2.gif","Glúteos | Elástico | Casa","Glúteos","Elástico | Casa","true","mapped","ID e mídia preservados"
"media_b262a3787323c079228f","Abdução de quadril em pé na máquina","Abdução de quadril em pé na máquina","gifs/Exercícios sem marca d'água/Abdução do quadril no lado na máquina.gif","gifs/Exercícios sem marca d'água/Abdução do quadril no lado na máquina.gif","Glúteos | Máquina | Quadril | Academia","Glúteos","Quadril | Máquina | Academia","true","mapped","ID e mídia preservados"
"media_c7f1b000d73f3220a3fb","Abdução de quadril em pé na polia","Abdução de quadril em pé na polia","gifs/perna/Corrida - Variação 2.gif","gifs/perna/Corrida - Variação 2.gif","Abdutores | Glúteos | Polia/Cabo | Academia","Abdutores","Glúteos | Polia/Cabo | Academia","true","mapped","ID e mídia preservados"
"media_447a9f38e00f1ea93d14","Abdução de quadril na máquina","Abdução de quadril na máquina","gifs/Exercícios sem marca d'água/Máquina de abdução de quadril.gif","gifs/Exercícios sem marca d'água/Máquina de abdução de quadril.gif","Glúteos | Máquina | Quadril | Academia","Glúteos","Quadril | Máquina | Academia","true","mapped","ID e mídia preservados"
"media_12ac4d5b2a0e64e06f1e","Abdução de quadril por cabo","Abdução de quadril por cabo","gifs/Exercícios sem marca d'água/Abdução de quadril por cabo.gif","gifs/Exercícios sem marca d'água/Abdução de quadril por cabo.gif","Glúteos | Polia/Cabo | Quadril | Academia","Glúteos","Quadril | Polia/Cabo | Academia","true","mapped","ID e mídia preservados"
"media_a22936611fd69af56158","Abdução de quadril sentado com elástico","Abdução de quadril sentado com elástico","gifs/Exercícios sem marca d'água/Abdução de quadril sentado com elástico.gif","gifs/Exercícios sem marca d'água/Abdução de quadril sentado com elástico.gif","Glúteos | Elástico | Quadril | Academia","Glúteos","Quadril | Elástico | Academia","true","mapped","ID e mídia preservados"
"media_877fec69edcc64c77919","Abertura de ombros com elástico","Abertura de ombros com elástico","gifs/Exercícios sem marca d'água/Elástico se separar.gif","gifs/Exercícios sem marca d'água/Elástico se separar.gif","Ombros | Elástico | Academia","Ombros","Elástico | Academia","true","mapped","ID e mídia preservados"
"media_9f35291f6339ed5dd6bd","Abraços de joelho em pé","Abraços de joelho em pé","gifs/Exercícios sem marca d'água/Abraços de joelho em pé.gif","gifs/Exercícios sem marca d'água/Abraços de joelho em pé.gif","Corpo inteiro | Sem aparelhos | Casa","Corpo inteiro","Sem aparelhos | Casa","true","mapped","ID e mídia preservados"
"media_2ef552cd5c5cbf18f018","Adução de quadril na máquina","Adução de quadril na máquina","gifs/Exercícios sem marca d'água/Máquina de adução de quadril.gif","gifs/Exercícios sem marca d'água/Máquina de adução de quadril.gif","Quadril | Máquina | Academia","Quadril","Máquina | Academia","true","mapped","ID e mídia preservados"
"media_7cda2e76df3a35c0c190","Adução de quadril por cabo","Adução de quadril por cabo","gifs/Exercícios sem marca d'água/Adução de quadril por cabo.gif","gifs/Exercícios sem marca d'água/Adução de quadril por cabo.gif","Quadril | Polia/Cabo | Academia","Quadril","Polia/Cabo | Academia","true","mapped","ID e mídia preservados"
"media_a3383043964927e80f3b","Adução do quadril no lado na máquina","Adução do quadril no lado na máquina","gifs/Exercícios sem marca d'água/Adução do quadril no lado na máquina.gif","gifs/Exercícios sem marca d'água/Adução do quadril no lado na máquina.gif","Corpo inteiro | Máquina | Academia","Corpo inteiro","Máquina | Academia","true","mapped","ID e mídia preservados"
"media_ca835c3df03be9182c98","Afundo com elástico","Afundo com elástico","gifs/Exercícios sem marca d'água/exercicios_renomeados_pt_br/020_afundo_com_elastico.gif","gifs/Exercícios sem marca d'água/exercicios_renomeados_pt_br/020_afundo_com_elastico.gif","Quadríceps | Elástico | Glúteos | Academia","Quadríceps","Glúteos | Elástico | Academia","true","mapped","ID e mídia preservados"
"media_3bb6b50ea066319d2dcc","Afundo cruzado com barra","Afundo cruzado com barra","gifs/perna/Em pé cadeira extensora with resistance band - Variação 3.gif","gifs/perna/Em pé cadeira extensora with resistance band - Variação 3.gif","Glúteos | Quadríceps | Abdutores | Barra","Glúteos","Quadríceps | Abdutores | Barra | Academia","true","mapped","ID e mídia preservados"
"media_a814317a8b4b96beb327","Afundo cruzado com halter","Afundo cruzado com halter","gifs/perna/Com barra curtsey avanço - Variação 2.gif","gifs/perna/Com barra curtsey avanço - Variação 2.gif","Glúteos | Quadríceps | Abdutores | Halteres","Glúteos","Quadríceps | Abdutores | Halteres | Academia | Casa","true","mapped","ID e mídia preservados"
"media_6d941a848eb91bc3b607","Agachamento ATG unilateral","Agachamento ATG unilateral","gifs/Exercícios sem marca d'água/Agachamento unilateral atg.gif","gifs/Exercícios sem marca d'água/Agachamento unilateral atg.gif","Quadríceps | Glúteos | Sem aparelhos | Casa","Quadríceps","Glúteos | Sem aparelhos | Casa","true","mapped","ID e mídia preservados"
"media_d6d86026a6812e2c7072","Agachamento belt squat","Agachamento belt squat","gifs/perna/Belt agachamento.gif","gifs/perna/Belt agachamento.gif","Quadríceps | Glúteos | Máquina | Academia","Quadríceps","Glúteos | Máquina | Academia","true","mapped","ID e mídia preservados"
"media_0171af930b5923a97fad","Agachamento búlgaro com barra","Agachamento búlgaro com barra","gifs/Exercícios sem marca d'água/Agachamento búlgaro com barra.gif","gifs/Exercícios sem marca d'água/Agachamento búlgaro com barra.gif","Quadríceps | Barra | Glúteos | Academia","Quadríceps","Glúteos | Barra | Academia","true","mapped","ID e mídia preservados"
"media_7da8b8027fd4a8bddf1e","Agachamento búlgaro com halteres","Agachamento búlgaro com halteres","gifs/Exercícios sem marca d'água/Agachamento búlgaro com halteres.gif","gifs/Exercícios sem marca d'água/Agachamento búlgaro com halteres.gif","Quadríceps | Halteres | Glúteos | Academia","Quadríceps","Glúteos | Halteres | Academia","true","mapped","ID e mídia preservados"
"media_95d909e4b2fa7f05519b","Agachamento búlgaro com peso corporal","Agachamento búlgaro com peso corporal","gifs/Exercícios sem marca d'água/Agachamento búlgaro com peso corporal.gif","gifs/Exercícios sem marca d'água/Agachamento búlgaro com peso corporal.gif","Quadríceps | Glúteos | Sem aparelhos | Casa","Quadríceps","Glúteos | Sem aparelhos | Casa","true","mapped","ID e mídia preservados"
"media_894cb9ea70d6cc338c49","Agachamento búlgaro com salto","Agachamento búlgaro com salto","gifs/Exercícios sem marca d'água/Agachamento búlgaro e salto.gif","gifs/Exercícios sem marca d'água/Agachamento búlgaro e salto.gif","Quadríceps | Glúteos | Sem aparelhos | Casa","Quadríceps","Glúteos | Sem aparelhos | Casa","true","mapped","ID e mídia preservados"
"media_ca889a128e25892c02f4","Agachamento com barra","Agachamento com barra","gifs/Exercícios sem marca d'água/Agachamento com barra.gif","gifs/Exercícios sem marca d'água/Agachamento com barra.gif","Quadríceps | Barra | Glúteos | Academia","Quadríceps","Glúteos | Barra | Academia","true","mapped","ID e mídia preservados"
"media_892279af90fc558ba61e","Agachamento com barra acima da cabeça","Agachamento com barra acima da cabeça","gifs/Exercícios sem marca d'água/Agachamento aéreo.gif","gifs/Exercícios sem marca d'água/Agachamento aéreo.gif","Quadríceps | Barra | Glúteos | Academia","Quadríceps","Glúteos | Barra | Academia","true","mapped","ID e mídia preservados"
"media_777e48bfd6407d6d31b9","Agachamento com desenvolvimento landmine","Agachamento com desenvolvimento landmine","gifs/Exercícios sem marca d'água/Desenvolvimento landmine.gif","gifs/Exercícios sem marca d'água/Desenvolvimento landmine.gif","Ombros | Barra | Tríceps | Academia","Ombros","Tríceps | Barra | Academia","true","mapped","ID e mídia preservados"
"media_ee37945b37f1c70954a5","Agachamento com elevação de panturrilhas","Agachamento com elevação de panturrilhas","gifs/Exercícios sem marca d'água/Agachamento, sustentação, panturrilha.gif","gifs/Exercícios sem marca d'água/Agachamento, sustentação, panturrilha.gif","Panturrilhas | Sem aparelhos | Casa","Panturrilhas","Sem aparelhos | Casa","true","mapped","ID e mídia preservados"
"media_70496d9ffaae3087b483","Agachamento com elástico e barra","Agachamento com elástico e barra","gifs/Exercícios sem marca d'água/exercicios_renomeados_pt_br/017_agachamento_com_elastico_e_barra.gif","gifs/Exercícios sem marca d'água/exercicios_renomeados_pt_br/017_agachamento_com_elastico_e_barra.gif","Quadríceps | Elástico | Glúteos | Academia","Quadríceps","Glúteos | Elástico | Academia","true","mapped","ID e mídia preservados"
"media_16defae79c9e3609564b","Agachamento com peso corporal","Agachamento com peso corporal","gifs/perna/Hackear agachamento de panturrilha - Variação 2.gif","gifs/perna/Hackear agachamento de panturrilha - Variação 2.gif","Quadríceps | Glúteos | Sem aparelhos | Casa","Quadríceps","Glúteos | Sem aparelhos | Casa","true","mapped","ID e mídia preservados"
"media_2aa40389276b9b58f83f","Agachamento com salto","Agachamento com salto","gifs/Exercícios sem marca d'água/Agachamento com salto.gif","gifs/Exercícios sem marca d'água/Agachamento com salto.gif","Quadríceps | Glúteos | Sem aparelhos | Casa","Quadríceps","Glúteos | Sem aparelhos | Casa","true","mapped","ID e mídia preservados"
